"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Snora7a",9.65348256539651,6.66717195621446,3.00606882031606,2.21790396519048,0.0265613810994074,0.107122884881467
"2","Ly6g6e",26.8233146044147,5.08745391495382,1.04683645507112,4.85983640549486,1.17482792819644e-06,5.50677858603532e-05
"3","Timp1",5.34136414506069,4.81456097106317,1.29164511696298,3.72746422979058,0.000193416001367927,0.00294007857501046
"4","Gm6644",6.64519165767892,4.1120901996704,2.97419457246393,1.38258950431202,0.16679076909974,0.359973235091954
"5","Gm13749",4.20408631759529,3.52484008677462,1.17135131335615,3.00920829351809,0.00261929472602379,0.0207298077114481
"6","Serpina9",5.34613786665314,3.19801615861131,1.10877241486054,2.88428546358953,0.00392302958684964,0.0276898218857359
"7","Drd4",5.1867507696247,3.19391916526541,0.904699255524992,3.53036563892384,0.000414985732666696,0.00525764350842994
"8","Rbp3",6.7147729048908,3.10242913406136,0.833130304651643,3.72382221213113,0.000196229138197626,0.00297090915231206
"9","Hist1h3d",4.83625153560941,3.08779857312065,0.705938309257565,4.37403457586555,1.21971047696622e-05,0.000340081337408261
"10","Tbx21",11.5538200139468,2.63238169168951,0.848638454626372,3.10188829806029,0.00192290501723737,0.0164758245393173
"11","Depdc1a",4.12721180335374,2.56755577928545,0.81058287054586,3.1675426074035,0.00153733180898318,0.0139875021562532
"12","Kcne1l",100.30845025421,2.42330404045909,0.377917216898305,6.41226155386083,1.43376573188115e-10,3.19223723245302e-08
"13","Lox",7.95719528876717,2.40412749560808,0.877576020678197,2.73950910116044,0.00615310111904668,0.0385739672995452
"14","Prlr",130.65664576203,2.36170192650938,0.48796874391485,4.8398631182031,1.29928587815483e-06,5.92505668532051e-05
"15","2810417H13Rik",14.7280633115719,2.24645423867248,0.55672377015816,4.03513260810524,5.45714677672443e-05,0.00112552726980402
"16","Aurkb",8.28764543396314,2.14489133150887,0.553653807445858,3.87406589219315,0.000107034452083384,0.0018799322558497
